ident,date,value,bankname,country,c
113830,2011.07.22,6566289419,Deutsche Bank AG,eins,268
113830,2011.07.29,6559680739,Deutsche Bank AG,eins,268
113830,2011.08.05,6557927650,Deutsche Bank AG,eins,268
113830,2011.08.12,6546900180,Deutsche Bank AG,eins,268
113830,2011.08.19,6564497835,Deutsche Bank AG,eins,268
113830,2011.08.26,6665177355,Deutsche Bank AG,eins,268
113830,2011.09.02,6729508995,Deutsche Bank AG,eins,268
113830,2011.09.09,6724526601,Deutsche Bank AG,eins,268
113830,2011.09.16,6725990260,Deutsche Bank AG,eins,268
113830,2011.09.23,6776753925,Deutsche Bank AG,eins,268
113830,2011.09.30,6844547886,Deutsche Bank AG,eins,268
113830,2011.10.07,7061277347,Deutsche Bank AG,eins,268
113830,2011.10.14,7021551569,Deutsche Bank AG,eins,268
113830,2011.10.21,7032881753,Deutsche Bank AG,eins,268
113830,2011.10.28,7033513587,Deutsche Bank AG,eins,268
113830,2011.11.04,7030729354,Deutsche Bank AG,eins,268
113830,2011.11.11,7030104667,Deutsche Bank AG,eins,268
113830,2011.11.18,7030201158,Deutsche Bank AG,eins,268
113830,2011.11.25,7057420256,Deutsche Bank AG,eins,268
113830,2011.12.02,7053455536,Deutsche Bank AG,eins,268
113830,2011.12.09,7079576853,Deutsche Bank AG,eins,268
113830,2011.12.16,7093943265,Deutsche Bank AG,eins,268
113830,2011.12.23,7497771575,Deutsche Bank AG,eins,268
113830,2011.12.30,7505551312,Deutsche Bank AG,eins,268
113830,2012.01.06,7513081240,Deutsche Bank AG,eins,268
113830,2012.01.13,7510972740,Deutsche Bank AG,eins,268
113830,2012.01.20,7508310535,Deutsche Bank AG,eins,268
113830,2012.01.27,7515531310,Deutsche Bank AG,eins,268
113830,2012.02.03,7518644530,Deutsche Bank AG,eins,268
113830,2012.02.10,7529483430,Deutsche Bank AG,eins,268
113830,2012.02.17,8373416565,Deutsche Bank AG,eins,268
113830,2012.02.24,8540096480,Deutsche Bank AG,eins,268
113830,2012.03.02,8713121260,Deutsche Bank AG,eins,268
113830,2012.03.09,8710998696,Deutsche Bank AG,eins,268
113830,2012.03.16,8705804076,Deutsche Bank AG,eins,268
113830,2012.03.23,8754884062,Deutsche Bank AG,eins,268
113830,2012.03.30,8742169413,Deutsche Bank AG,eins,268
113830,2012.04.06,8692929639,Deutsche Bank AG,eins,268
113830,2012.04.13,8702576842,Deutsche Bank AG,eins,268
113830,2012.04.20,8704941138,Deutsche Bank AG,eins,268
113830,2012.04.27,8703597757,Deutsche Bank AG,eins,268
113830,2012.05.04,8702105128,Deutsche Bank AG,eins,268
113830,2012.05.11,8760716474,Deutsche Bank AG,eins,268
113830,2012.05.18,8911446591,Deutsche Bank AG,eins,268
113830,2012.05.25,8904396535,Deutsche Bank AG,eins,268
113830,2012.06.01,8903677891,Deutsche Bank AG,eins,268
113830,2012.06.08,8950355649,Deutsche Bank AG,eins,268
113830,2012.06.15,8951988365,Deutsche Bank AG,eins,268
113830,2012.06.22,9327007345,Deutsche Bank AG,eins,268
113830,2012.06.29,9417463734,Deutsche Bank AG,eins,268
113830,2012.07.06,9406432265,Deutsche Bank AG,eins,268
113830,2012.07.13,9407712027,Deutsche Bank AG,eins,268
113830,2012.07.20,9408326343,Deutsche Bank AG,eins,268
113830,2012.07.27,9409450100,Deutsche Bank AG,eins,268
113830,2012.08.03,9491778023,Deutsche Bank AG,eins,268
113830,2012.08.10,9493408651,Deutsche Bank AG,eins,268
113830,2012.08.17,9565291566,Deutsche Bank AG,eins,268
113830,2012.08.24,9567933426,Deutsche Bank AG,eins,268
113830,2012.08.31,9869121093,Deutsche Bank AG,eins,268
113830,2012.09.07,9879996368,Deutsche Bank AG,eins,268
113830,2012.09.14,9880585919,Deutsche Bank AG,eins,268
113830,2012.09.21,9840385006,Deutsche Bank AG,eins,268
113830,2012.09.28,9812916860,Deutsche Bank AG,eins,268
113830,2012.10.05,9844961283,Deutsche Bank AG,eins,268
113830,2012.10.12,9844424271,Deutsche Bank AG,eins,268
113830,2012.10.19,9842036580,Deutsche Bank AG,eins,268
113830,2012.10.26,9838948009,Deutsche Bank AG,eins,268
113830,2012.11.02,9837815353,Deutsche Bank AG,eins,268
113830,2012.11.09,9831614755,Deutsche Bank AG,eins,268
113830,2012.11.16,9829837956,Deutsche Bank AG,eins,268
113830,2012.11.23,9830293531,Deutsche Bank AG,eins,268
113830,2012.11.30,9833166663,Deutsche Bank AG,eins,268
113830,2012.12.07,9807657033,Deutsche Bank AG,eins,268
113830,2012.12.14,9803159658,Deutsche Bank AG,eins,268
113830,2012.12.21,9807707760,Deutsche Bank AG,eins,268
113830,2012.12.28,9808147094,Deutsche Bank AG,eins,268
113830,2013.01.04,9796022377,Deutsche Bank AG,eins,268
113830,2013.01.11,9798457571,Deutsche Bank AG,eins,268
113830,2013.01.18,9782357451,Deutsche Bank AG,eins,268
113830,2013.01.25,9783958326,Deutsche Bank AG,eins,268
113830,2013.02.01,9791198474,Deutsche Bank AG,eins,268
113830,2013.02.08,9778621665,Deutsche Bank AG,eins,268
113830,2013.02.15,9725796378,Deutsche Bank AG,eins,268
113830,2013.02.22,9724220273,Deutsche Bank AG,eins,268
113830,2013.03.01,9736577326,Deutsche Bank AG,eins,268
113830,2013.03.08,9738521004,Deutsche Bank AG,eins,268
113830,2013.03.15,9761758058,Deutsche Bank AG,eins,268
113830,2013.03.22,9760998623,Deutsche Bank AG,eins,268
113830,2013.03.29,9690898350,Deutsche Bank AG,eins,268
113830,2013.04.05,9682556373,Deutsche Bank AG,eins,268
113830,2013.04.12,9695863231,Deutsche Bank AG,eins,268
113830,2013.04.19,9696235618,Deutsche Bank AG,eins,268
113830,2013.04.26,9678093041,Deutsche Bank AG,eins,268
113830,2013.05.03,9865564498,Deutsche Bank AG,eins,268
113830,2013.05.10,9867910333,Deutsche Bank AG,eins,268
113830,2013.05.17,9867793695,Deutsche Bank AG,eins,268
113830,2013.05.24,9949033704,Deutsche Bank AG,eins,268
113830,2013.05.31,10205023186,Deutsche Bank AG,eins,268
113830,2013.06.07,10200470919,Deutsche Bank AG,eins,268
113830,2013.06.14,10197652451,Deutsche Bank AG,eins,268
113830,2013.06.21,10193290244,Deutsche Bank AG,eins,268
113830,2013.06.28,10194100874,Deutsche Bank AG,eins,268
113830,2013.07.05,10190740170,Deutsche Bank AG,eins,268
113830,2013.07.12,10693846760,Deutsche Bank AG,eins,268
113830,2013.07.19,10591688725,Deutsche Bank AG,eins,268
113830,2013.07.26,10730179698,Deutsche Bank AG,eins,268
113830,2013.08.02,10665106672,Deutsche Bank AG,eins,268
113830,2013.08.09,10666293287,Deutsche Bank AG,eins,268
113830,2013.08.16,10756917461,Deutsche Bank AG,eins,268
113830,2013.08.23,10738494604,Deutsche Bank AG,eins,268
113830,2013.08.30,10745792979,Deutsche Bank AG,eins,268
113830,2013.09.06,10745080551,Deutsche Bank AG,eins,268
113830,2013.09.13,10738042613,Deutsche Bank AG,eins,268
113830,2013.09.20,10727294783,Deutsche Bank AG,eins,268
113830,2013.09.27,10729232380,Deutsche Bank AG,eins,268
113830,2013.10.04,10725150631,Deutsche Bank AG,eins,268
113830,2013.10.11,10720373206,Deutsche Bank AG,eins,268
113830,2013.10.18,10709507808,Deutsche Bank AG,eins,268
113830,2013.10.25,10815197330,Deutsche Bank AG,eins,268
113830,2013.11.01,10818533746,Deutsche Bank AG,eins,268
113830,2013.11.08,10918546096,Deutsche Bank AG,eins,268
113830,2013.11.15,10907448396,Deutsche Bank AG,eins,268
113830,2013.11.22,10907817878,Deutsche Bank AG,eins,268
113830,2013.11.29,10915478746,Deutsche Bank AG,eins,268
113830,2013.12.06,10885277110,Deutsche Bank AG,eins,268
113830,2013.12.13,10885225907,Deutsche Bank AG,eins,268
113830,2013.12.20,10883152990,Deutsche Bank AG,eins,268
113830,2013.12.27,10882986910,Deutsche Bank AG,eins,268
113830,2014.01.03,10867323431,Deutsche Bank AG,eins,268
113830,2014.01.10,10861426338,Deutsche Bank AG,eins,268
113830,2014.01.17,10860753835,Deutsche Bank AG,eins,268
113830,2014.01.24,10847855318,Deutsche Bank AG,eins,268
113830,2014.01.31,10844460235,Deutsche Bank AG,eins,268
113830,2014.02.07,10841365315,Deutsche Bank AG,eins,268
113830,2014.02.14,10846979995,Deutsche Bank AG,eins,268
113830,2014.02.21,10846530793,Deutsche Bank AG,eins,268
113830,2014.02.28,10860884070,Deutsche Bank AG,eins,268
113830,2014.03.07,10864274922,Deutsche Bank AG,eins,268
113830,2014.03.14,10867562641,Deutsche Bank AG,eins,268
113830,2014.03.21,10866939583,Deutsche Bank AG,eins,268
113830,2014.03.28,10868394327,Deutsche Bank AG,eins,268
113830,2014.04.04,10867110150,Deutsche Bank AG,eins,268
113830,2014.04.11,10868947482,Deutsche Bank AG,eins,268
113830,2014.04.18,10869083330,Deutsche Bank AG,eins,268
113830,2014.04.25,10868430711,Deutsche Bank AG,eins,268
113830,2014.05.02,10871336927,Deutsche Bank AG,eins,268
113830,2014.05.09,10873266382,Deutsche Bank AG,eins,268
113830,2014.05.16,10872896897,Deutsche Bank AG,eins,268
113830,2014.05.23,10823382276,Deutsche Bank AG,eins,268
113830,2014.05.30,10859817869,Deutsche Bank AG,eins,268
113830,2014.06.06,10745748824,Deutsche Bank AG,eins,268
113830,2014.06.13,10748072374,Deutsche Bank AG,eins,268
113830,2014.06.20,10750029814,Deutsche Bank AG,eins,268
113830,2014.06.27,10750953734,Deutsche Bank AG,eins,268
113830,2014.07.04,10749416628,Deutsche Bank AG,eins,268
113830,2014.07.11,10746117891,Deutsche Bank AG,eins,268
113830,2014.07.18,10688395244,Deutsche Bank AG,eins,268
113830,2014.07.25,10700656926,Deutsche Bank AG,eins,268
113830,2014.08.01,10704241587,Deutsche Bank AG,eins,268
113830,2014.08.08,10703632109,Deutsche Bank AG,eins,268
113830,2014.08.15,10705012089,Deutsche Bank AG,eins,268
113830,2014.08.22,10703394567,Deutsche Bank AG,eins,268
113830,2014.08.29,10704384947,Deutsche Bank AG,eins,268
113830,2014.09.05,10706606240,Deutsche Bank AG,eins,268
113830,2014.09.12,10714193300,Deutsche Bank AG,eins,268
113830,2014.09.19,10709679788,Deutsche Bank AG,eins,268
113830,2014.09.26,10710230018,Deutsche Bank AG,eins,268
113830,2014.10.03,10706038792,Deutsche Bank AG,eins,268
113830,2014.10.10,10707454713,Deutsche Bank AG,eins,268
113830,2014.10.17,10709186326,Deutsche Bank AG,eins,268
113830,2014.10.24,10719784008,Deutsche Bank AG,eins,268
113830,2014.10.31,10725034227,Deutsche Bank AG,eins,268
113830,2014.11.07,10725745568,Deutsche Bank AG,eins,268
113830,2014.11.14,10738503254,Deutsche Bank AG,eins,268
113830,2014.11.21,10872686243,Deutsche Bank AG,eins,268
113830,2014.11.28,10856325283,Deutsche Bank AG,eins,268
113830,2014.12.05,10883476007,Deutsche Bank AG,eins,268
113830,2014.12.12,10880994918,Deutsche Bank AG,eins,268
113830,2014.12.19,10894493422,Deutsche Bank AG,eins,268
113830,2014.12.26,10888697525,Deutsche Bank AG,eins,268
113830,2015.01.02,10868318764,Deutsche Bank AG,eins,268
113830,2015.01.09,10871467959,Deutsche Bank AG,eins,268
113830,2015.01.16,10870858718,Deutsche Bank AG,eins,268
113830,2015.01.23,10874850421,Deutsche Bank AG,eins,268
113830,2015.01.30,10873160685,Deutsche Bank AG,eins,268
113830,2015.02.06,10870442331,Deutsche Bank AG,eins,268
113830,2015.02.13,10869667765,Deutsche Bank AG,eins,268
113830,2015.02.20,12702221119,Deutsche Bank AG,eins,268
113830,2015.02.27,12706504947,Deutsche Bank AG,eins,268
113830,2015.03.06,12716461532,Deutsche Bank AG,eins,268
113830,2015.03.13,12709945090,Deutsche Bank AG,eins,268
113830,2015.03.20,12717552889,Deutsche Bank AG,eins,268
113830,2015.03.27,13929307464,Deutsche Bank AG,eins,268
113830,2015.04.03,14035899891,Deutsche Bank AG,eins,268
113830,2015.04.10,14034470140,Deutsche Bank AG,eins,268
113830,2015.04.17,14030231237,Deutsche Bank AG,eins,268
113830,2015.04.24,14025432722,Deutsche Bank AG,eins,268
113830,2015.05.01,14008450470,Deutsche Bank AG,eins,268
113830,2015.05.08,14016842547,Deutsche Bank AG,eins,268
113830,2015.05.15,14011750503,Deutsche Bank AG,eins,268
113830,2015.05.22,14006457648,Deutsche Bank AG,eins,268
113830,2015.05.29,13989715893,Deutsche Bank AG,eins,268
113830,2015.06.05,13978273979,Deutsche Bank AG,eins,268
113830,2015.06.12,13991585426,Deutsche Bank AG,eins,268
113830,2015.06.19,13821578607,Deutsche Bank AG,eins,268
113830,2015.06.26,13694751983,Deutsche Bank AG,eins,268
113830,2015.07.03,13692757584,Deutsche Bank AG,eins,268
113830,2015.07.10,13688114938,Deutsche Bank AG,eins,268
113830,2015.07.17,13687090876,Deutsche Bank AG,eins,268
113830,2015.07.24,13689599871,Deutsche Bank AG,eins,268
113830,2015.07.31,13682492132,Deutsche Bank AG,eins,268
113830,2015.08.07,13679761184,Deutsche Bank AG,eins,268
113830,2015.08.14,13678431574,Deutsche Bank AG,eins,268
113830,2015.08.21,13639484401,Deutsche Bank AG,eins,268
113830,2015.08.28,13624133383,Deutsche Bank AG,eins,268
113830,2015.09.04,13625225310,Deutsche Bank AG,eins,268
113830,2015.09.11,13629194699,Deutsche Bank AG,eins,268
113830,2015.09.18,13639868279,Deutsche Bank AG,eins,268
113830,2015.09.25,13641440722,Deutsche Bank AG,eins,268
113830,2015.10.02,13642394473,Deutsche Bank AG,eins,268
113830,2015.10.09,13645404972,Deutsche Bank AG,eins,268
113830,2015.10.16,13648541614,Deutsche Bank AG,eins,268
113830,2015.10.23,13649381694,Deutsche Bank AG,eins,268
113830,2015.10.30,13650108705,Deutsche Bank AG,eins,268
113830,2015.11.06,13653595435,Deutsche Bank AG,eins,268
113830,2015.11.13,13654654277,Deutsche Bank AG,eins,268
113830,2015.11.20,13747992729,Deutsche Bank AG,eins,268
113830,2015.11.27,13746507982,Deutsche Bank AG,eins,268
113830,2015.12.04,13695999227,Deutsche Bank AG,eins,268
113830,2015.12.11,13695276747,Deutsche Bank AG,eins,268
113830,2015.12.18,16480882622,Deutsche Bank AG,eins,268
113830,2015.12.25,16485313223,Deutsche Bank AG,eins,268
113830,2016.01.01,16469672344,Deutsche Bank AG,eins,268
113830,2016.01.08,16469169679,Deutsche Bank AG,eins,268
113830,2016.01.15,16469246238,Deutsche Bank AG,eins,268
113830,2016.01.22,16464804367,Deutsche Bank AG,eins,268
113830,2016.01.29,16463971000,Deutsche Bank AG,eins,268
113830,2016.02.05,16464231714,Deutsche Bank AG,eins,268
113830,2016.02.12,16462956349,Deutsche Bank AG,eins,268
113830,2016.02.19,16462954469,Deutsche Bank AG,eins,268
113830,2016.02.26,16452035315,Deutsche Bank AG,eins,268
113830,2016.03.04,16451384172,Deutsche Bank AG,eins,268
113830,2016.03.11,16452128527,Deutsche Bank AG,eins,268
113830,2016.03.18,16444820192,Deutsche Bank AG,eins,268
113830,2016.03.25,16449273291,Deutsche Bank AG,eins,268
113830,2016.04.01,16444286105,Deutsche Bank AG,eins,268
113830,2016.04.08,16460173383,Deutsche Bank AG,eins,268
113830,2016.04.15,16551780581,Deutsche Bank AG,eins,268
113830,2016.04.22,16551852007,Deutsche Bank AG,eins,268
113830,2016.04.29,16552432480,Deutsche Bank AG,eins,268
113830,2016.05.06,16553174687,Deutsche Bank AG,eins,268
113830,2016.05.13,16586244565,Deutsche Bank AG,eins,268
113830,2016.05.20,16421551890,Deutsche Bank AG,eins,268
113830,2016.05.27,16404756803,Deutsche Bank AG,eins,268
113830,2016.06.03,16405215660,Deutsche Bank AG,eins,268
113830,2016.06.10,16408244958,Deutsche Bank AG,eins,268
113830,2016.06.17,16406887589,Deutsche Bank AG,eins,268
113830,2016.06.24,16408596963,Deutsche Bank AG,eins,268
113830,2016.07.01,16405605818,Deutsche Bank AG,eins,268
113830,2016.07.08,16391137232,Deutsche Bank AG,eins,268
113830,2016.07.15,16391124614,Deutsche Bank AG,eins,268
113830,2016.07.22,16388986801,Deutsche Bank AG,eins,268
113830,2016.07.29,16385994063,Deutsche Bank AG,eins,268
113830,2016.08.05,16204797622,Deutsche Bank AG,eins,268
113830,2016.08.12,16204325258,Deutsche Bank AG,eins,268
113830,2016.08.19,16175485943,Deutsche Bank AG,eins,268
113830,2016.08.26,16176475986,Deutsche Bank AG,eins,268
113830,2016.09.02,16226021630,Deutsche Bank AG,eins,268
113876,2011.07.22,3517573243,HSBC Holdings plc,eins,268
113876,2011.07.29,3519203352,HSBC Holdings plc,eins,268
113876,2011.08.05,3516807738,HSBC Holdings plc,eins,268
113876,2011.08.12,3516661441,HSBC Holdings plc,eins,268
113876,2011.08.19,3518618784,HSBC Holdings plc,eins,268
113876,2011.08.26,3519782075,HSBC Holdings plc,eins,268
113876,2011.09.02,3520492191,HSBC Holdings plc,eins,268
113876,2011.09.09,3524369143,HSBC Holdings plc,eins,268
113876,2011.09.16,3564715032,HSBC Holdings plc,eins,268
113876,2011.09.23,3614313832,HSBC Holdings plc,eins,268
113876,2011.09.30,3615081639,HSBC Holdings plc,eins,268
113876,2011.10.07,3818376125,HSBC Holdings plc,eins,268
113876,2011.10.14,3853018594,HSBC Holdings plc,eins,268
113876,2011.10.21,3855463406,HSBC Holdings plc,eins,268
113876,2011.10.28,3857735890,HSBC Holdings plc,eins,268
113876,2011.11.04,3857690105,HSBC Holdings plc,eins,268
113876,2011.11.11,3860232915,HSBC Holdings plc,eins,268
113876,2011.11.18,3861823811,HSBC Holdings plc,eins,268
113876,2011.11.25,3860046244,HSBC Holdings plc,eins,268
113876,2011.12.02,3860715330,HSBC Holdings plc,eins,268
113876,2011.12.09,3860240855,HSBC Holdings plc,eins,268
113876,2011.12.16,3960855757,HSBC Holdings plc,eins,268
113876,2011.12.23,3983130780,HSBC Holdings plc,eins,268
113876,2011.12.30,4003331562,HSBC Holdings plc,eins,268
113876,2012.01.06,4002383910,HSBC Holdings plc,eins,268
113876,2012.01.13,4033419245,HSBC Holdings plc,eins,268
113876,2012.01.20,4034351871,HSBC Holdings plc,eins,268
113876,2012.01.27,4034631517,HSBC Holdings plc,eins,268
113876,2012.02.03,4040813196,HSBC Holdings plc,eins,268
113876,2012.02.10,4065334844,HSBC Holdings plc,eins,268
113876,2012.02.17,4132427168,HSBC Holdings plc,eins,268
113876,2012.02.24,4159616309,HSBC Holdings plc,eins,268
113876,2012.03.02,4200321331,HSBC Holdings plc,eins,268
113876,2012.03.09,4201455831,HSBC Holdings plc,eins,268
113876,2012.03.16,4201880171,HSBC Holdings plc,eins,268
113876,2012.03.23,4201532959,HSBC Holdings plc,eins,268
113876,2012.03.30,4202099918,HSBC Holdings plc,eins,268
113876,2012.04.06,4204245378,HSBC Holdings plc,eins,268
113876,2012.04.13,4236492719,HSBC Holdings plc,eins,268
113876,2012.04.20,4234806836,HSBC Holdings plc,eins,268
113876,2012.04.27,4326719452,HSBC Holdings plc,eins,268
113876,2012.05.04,4328403221,HSBC Holdings plc,eins,268
113876,2012.05.11,4324583431,HSBC Holdings plc,eins,268
113876,2012.05.18,4322455958,HSBC Holdings plc,eins,268
113876,2012.05.25,4323492771,HSBC Holdings plc,eins,268
113876,2012.06.01,4413381250,HSBC Holdings plc,eins,268
113876,2012.06.08,4465931326,HSBC Holdings plc,eins,268
113876,2012.06.15,4465405818,HSBC Holdings plc,eins,268
113876,2012.06.22,4465095285,HSBC Holdings plc,eins,268
113876,2012.06.29,4476901550,HSBC Holdings plc,eins,268
113876,2012.07.06,4479972863,HSBC Holdings plc,eins,268
113876,2012.07.13,4509178555,HSBC Holdings plc,eins,268
113876,2012.07.20,4508136978,HSBC Holdings plc,eins,268
113876,2012.07.27,4458751007,HSBC Holdings plc,eins,268
113876,2012.08.03,4460933596,HSBC Holdings plc,eins,268
113876,2012.08.10,4460266925,HSBC Holdings plc,eins,268
113876,2012.08.17,4461715130,HSBC Holdings plc,eins,268
113876,2012.08.24,4462860362,HSBC Holdings plc,eins,268
113876,2012.08.31,4462920063,HSBC Holdings plc,eins,268
113876,2012.09.07,4464000599,HSBC Holdings plc,eins,268
113876,2012.09.14,4464087357,HSBC Holdings plc,eins,268
113876,2012.09.21,4459649198,HSBC Holdings plc,eins,268
113876,2012.09.28,4460266392,HSBC Holdings plc,eins,268
113876,2012.10.05,4479772816,HSBC Holdings plc,eins,268
113876,2012.10.12,4438918544,HSBC Holdings plc,eins,268
113876,2012.10.19,4442235621,HSBC Holdings plc,eins,268
113876,2012.10.26,4440766000,HSBC Holdings plc,eins,268
113876,2012.11.02,4446959686,HSBC Holdings plc,eins,268
113876,2012.11.09,4465206650,HSBC Holdings plc,eins,268
113876,2012.11.16,4489455370,HSBC Holdings plc,eins,268
113876,2012.11.23,4490992387,HSBC Holdings plc,eins,268
113876,2012.11.30,4489933775,HSBC Holdings plc,eins,268
113876,2012.12.07,4518590984,HSBC Holdings plc,eins,268
113876,2012.12.14,4517429429,HSBC Holdings plc,eins,268
113876,2012.12.21,4516972699,HSBC Holdings plc,eins,268
113876,2012.12.28,4546283764,HSBC Holdings plc,eins,268
113876,2013.01.04,4546550151,HSBC Holdings plc,eins,268
113876,2013.01.11,4550838292,HSBC Holdings plc,eins,268
113876,2013.01.18,4554311484,HSBC Holdings plc,eins,268
113876,2013.01.25,4564832143,HSBC Holdings plc,eins,268
113876,2013.02.01,4564019702,HSBC Holdings plc,eins,268
113876,2013.02.08,4582360829,HSBC Holdings plc,eins,268
113876,2013.02.15,4577922275,HSBC Holdings plc,eins,268
113876,2013.02.22,4573034497,HSBC Holdings plc,eins,268
113876,2013.03.01,4572317460,HSBC Holdings plc,eins,268
113876,2013.03.08,4574214627,HSBC Holdings plc,eins,268
113876,2013.03.15,4571268160,HSBC Holdings plc,eins,268
113876,2013.03.22,4476269679,HSBC Holdings plc,eins,268
113876,2013.03.29,4463663785,HSBC Holdings plc,eins,268
113876,2013.04.05,4454906821,HSBC Holdings plc,eins,268
113876,2013.04.12,4451303812,HSBC Holdings plc,eins,268
113876,2013.04.19,4448480427,HSBC Holdings plc,eins,268
113876,2013.04.26,4447765861,HSBC Holdings plc,eins,268
113876,2013.05.03,4446266731,HSBC Holdings plc,eins,268
113876,2013.05.10,4445965715,HSBC Holdings plc,eins,268
113876,2013.05.17,4442509444,HSBC Holdings plc,eins,268
113876,2013.05.24,4444966856,HSBC Holdings plc,eins,268
113876,2013.05.31,4523136263,HSBC Holdings plc,eins,268
113876,2013.06.07,4571906965,HSBC Holdings plc,eins,268
113876,2013.06.14,4573601764,HSBC Holdings plc,eins,268
113876,2013.06.21,4572893355,HSBC Holdings plc,eins,268
113876,2013.06.28,4655327229,HSBC Holdings plc,eins,268
113876,2013.07.05,4649388218,HSBC Holdings plc,eins,268
113876,2013.07.12,4649751408,HSBC Holdings plc,eins,268
113876,2013.07.19,4648107066,HSBC Holdings plc,eins,268
113876,2013.07.26,4649691220,HSBC Holdings plc,eins,268
113876,2013.08.02,4680512063,HSBC Holdings plc,eins,268
113876,2013.08.09,4677694536,HSBC Holdings plc,eins,268
113876,2013.08.16,4644725934,HSBC Holdings plc,eins,268
113876,2013.08.23,4644609614,HSBC Holdings plc,eins,268
113876,2013.08.30,4643674933,HSBC Holdings plc,eins,268
113876,2013.09.06,4644835977,HSBC Holdings plc,eins,268
113876,2013.09.13,4647840612,HSBC Holdings plc,eins,268
113876,2013.09.20,4648411898,HSBC Holdings plc,eins,268
113876,2013.09.27,4648522083,HSBC Holdings plc,eins,268
113876,2013.10.04,4664632245,HSBC Holdings plc,eins,268
113876,2013.10.11,4662000830,HSBC Holdings plc,eins,268
113876,2013.10.18,4662578039,HSBC Holdings plc,eins,268
113876,2013.10.25,4663585371,HSBC Holdings plc,eins,268
113876,2013.11.01,4662369744,HSBC Holdings plc,eins,268
113876,2013.11.08,4662846197,HSBC Holdings plc,eins,268
113876,2013.11.15,4661138139,HSBC Holdings plc,eins,268
113876,2013.11.22,4660027649,HSBC Holdings plc,eins,268
113876,2013.11.29,4659773383,HSBC Holdings plc,eins,268
113876,2013.12.06,4659938737,HSBC Holdings plc,eins,268
113876,2013.12.13,4663961493,HSBC Holdings plc,eins,268
113876,2013.12.20,4661033907,HSBC Holdings plc,eins,268
113876,2013.12.27,4660047577,HSBC Holdings plc,eins,268
113876,2014.01.03,4658001647,HSBC Holdings plc,eins,268
113876,2014.01.10,4656878041,HSBC Holdings plc,eins,268
113876,2014.01.17,4650877876,HSBC Holdings plc,eins,268
113876,2014.01.24,4646567466,HSBC Holdings plc,eins,268
113876,2014.01.31,4650812764,HSBC Holdings plc,eins,268
113876,2014.02.07,4652274291,HSBC Holdings plc,eins,268
113876,2014.02.14,4652879623,HSBC Holdings plc,eins,268
113876,2014.02.21,4650926737,HSBC Holdings plc,eins,268
113876,2014.02.28,4651093923,HSBC Holdings plc,eins,268
113876,2014.03.07,4650304760,HSBC Holdings plc,eins,268
113876,2014.03.14,4652508098,HSBC Holdings plc,eins,268
113876,2014.03.21,4652339885,HSBC Holdings plc,eins,268
113876,2014.03.28,4652314127,HSBC Holdings plc,eins,268
113876,2014.04.04,4652922940,HSBC Holdings plc,eins,268
113876,2014.04.11,4653370734,HSBC Holdings plc,eins,268
113876,2014.04.18,4651161263,HSBC Holdings plc,eins,268
113876,2014.04.25,4649783237,HSBC Holdings plc,eins,268
113876,2014.05.02,4648782967,HSBC Holdings plc,eins,268
113876,2014.05.09,4649533100,HSBC Holdings plc,eins,268
113876,2014.05.16,4650199587,HSBC Holdings plc,eins,268
113876,2014.05.23,4649943894,HSBC Holdings plc,eins,268
113876,2014.05.30,4650397701,HSBC Holdings plc,eins,268
113876,2014.06.06,4673903169,HSBC Holdings plc,eins,268
113876,2014.06.13,4674611575,HSBC Holdings plc,eins,268
113876,2014.06.20,4671656463,HSBC Holdings plc,eins,268
113876,2014.06.27,4696882164,HSBC Holdings plc,eins,268
113876,2014.07.04,4772468326,HSBC Holdings plc,eins,268
113876,2014.07.11,4741002147,HSBC Holdings plc,eins,268
113876,2014.07.18,4741366126,HSBC Holdings plc,eins,268
113876,2014.07.25,4740405449,HSBC Holdings plc,eins,268
113876,2014.08.01,4740413353,HSBC Holdings plc,eins,268
113876,2014.08.08,4741495741,HSBC Holdings plc,eins,268
113876,2014.08.15,4740388510,HSBC Holdings plc,eins,268
113876,2014.08.22,4738364771,HSBC Holdings plc,eins,268
113876,2014.08.29,4738502800,HSBC Holdings plc,eins,268
113876,2014.09.05,4737143370,HSBC Holdings plc,eins,268
113876,2014.09.12,4738198322,HSBC Holdings plc,eins,268
113876,2014.09.19,4743258344,HSBC Holdings plc,eins,268
113876,2014.09.26,4744789387,HSBC Holdings plc,eins,268
113876,2014.10.03,4702986918,HSBC Holdings plc,eins,268
113876,2014.10.10,4703354943,HSBC Holdings plc,eins,268
113876,2014.10.17,4611181350,HSBC Holdings plc,eins,268
113876,2014.10.24,4612914104,HSBC Holdings plc,eins,268
113876,2014.10.31,4644477990,HSBC Holdings plc,eins,268
113876,2014.11.07,4644842704,HSBC Holdings plc,eins,268
113876,2014.11.14,4648923484,HSBC Holdings plc,eins,268
113876,2014.11.21,4647307226,HSBC Holdings plc,eins,268
113876,2014.11.28,4644746387,HSBC Holdings plc,eins,268
113876,2014.12.05,4623703003,HSBC Holdings plc,eins,268
113876,2014.12.12,4615628930,HSBC Holdings plc,eins,268
113876,2014.12.19,4615564596,HSBC Holdings plc,eins,268
113876,2014.12.26,4620365504,HSBC Holdings plc,eins,268
113876,2015.01.02,4619513300,HSBC Holdings plc,eins,268
113876,2015.01.09,4626104358,HSBC Holdings plc,eins,268
113876,2015.01.16,4624902701,HSBC Holdings plc,eins,268
